Tiempo,CH1(V),CH2(V),N/a1,N/a2,N/a3,N/a4,N/a5
0.000036,1.950000,1.725000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.000072,2.019000,1.911000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.000112,2.102000,2.038000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.000148,2.204000,2.151000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.000184,2.312000,2.263000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.000220,2.424000,2.380000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.000260,2.537000,2.483000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.000296,2.634000,2.586000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.000332,2.717000,2.674000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.000368,2.786000,2.737000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.000408,2.830000,2.781000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.000444,2.849000,2.810000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.000480,2.840000,2.805000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.000516,2.810000,2.776000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.000556,2.752000,2.727000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.000592,2.674000,2.654000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.000628,2.576000,2.561000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.000664,2.473000,2.463000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.000704,2.361000,2.356000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.000740,2.248000,2.248000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.000776,2.146000,2.146000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.000812,2.048000,2.048000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.000852,1.975000,1.970000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.000888,1.916000,1.911000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.000924,1.887000,1.882000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.000960,1.877000,1.872000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.001000,1.901000,1.887000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.001036,1.945000,1.921000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.001072,2.014000,1.989000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.001108,2.097000,2.067000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.001148,2.199000,2.165000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.001184,2.307000,2.268000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.001220,2.419000,2.375000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.001256,2.527000,2.483000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.001296,2.625000,2.576000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.001332,2.717000,2.664000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.001368,2.781000,2.737000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.001404,2.825000,2.781000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.001444,2.849000,2.810000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.001480,2.845000,2.805000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.001516,2.810000,2.776000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.001552,2.752000,2.727000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.001592,2.674000,2.654000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.001628,2.576000,2.571000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.001668,2.478000,2.463000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
