Freq.,Vn001,fase
1.00000000000000e+000,-3.25454672498040e+000,-2.42386349242661e-002
1.25892541179417e+000,-3.25454717828801e+000,-3.05146323934990e-002
1.58489319246111e+000,-3.25454789673205e+000,-3.84156440370325e-002
1.99526231496888e+000,-3.25454903538888e+000,-4.83624262692775e-002
2.51188643150958e+000,-3.25455084003772e+000,-6.08846789876452e-002
3.16227766016838e+000,-3.25455370021186e+000,-7.66492527688331e-002
3.98107170553497e+000,-3.25455823327852e+000,-9.64956585900469e-002
5.01187233627272e+000,-3.25456541769531e+000,-1.21480769854376e-001
6.30957344480194e+000,-3.25457680420425e+000,-1.52935094786260e-001
7.94328234724282e+000,-3.25459485054363e+000,-1.92533610959326e-001
1.00000000000000e+001,-3.25462345191051e+000,-2.42384924281396e-001
1.25892541179417e+001,-3.25466878163651e+000,-3.05143480781456e-001
1.58489319246111e+001,-3.25474062344193e+000,-3.84150767590078e-001
1.99526231496888e+001,-3.25485448259699e+000,-4.83612944187913e-001
2.51188643150958e+001,-3.25503493108497e+000,-6.08824207058739e-001
3.16227766016838e+001,-3.25532090731445e+000,-7.66447470840805e-001
3.98107170553498e+001,-3.25577411053995e+000,-9.64866691354462e-001
5.01187233627273e+001,-3.25649229242572e+000,-1.21462835331438e+000
6.30957344480194e+001,-3.25763029088994e+000,-1.52899316389566e+000
7.94328234724283e+001,-3.25943328656827e+000,-1.92462241629125e+000
1.00000000000000e+002,-3.26228931040191e+000,-2.42242580486064e+000
1.25892541179417e+002,-3.26681196098717e+000,-3.04859646779795e+000
1.58489319246112e+002,-3.27397024958633e+000,-3.83585009923346e+000
1.99526231496888e+002,-3.28529126943241e+000,-4.82485892455006e+000
2.51188643150958e+002,-3.30317366965488e+000,-6.06581055204155e+000
3.16227766016838e+002,-3.33136545745895e+000,-7.61989407039565e+000
3.98107170553498e+002,-3.37567507156356e+000,-9.56026719046115e+000
5.01187233627273e+002,-3.44498836561378e+000,-1.19716109207933e+001
6.30957344480194e+002,-3.55262654129824e+000,-1.49466595481890e+001
7.94328234724283e+002,-3.71794058319117e+000,-1.85771607803119e+001
1.00000000000000e+003,-3.96770574672128e+000,-2.29360918754871e+001
1.25892541179417e+003,-4.33630831347300e+000,-2.80491520703831e+001
1.58489319246112e+003,-4.86314362558791e+000,-3.38591300584785e+001
1.99526231496888e+003,-5.58591076300682e+000,-4.01976797345627e+001
2.51188643150959e+003,-6.53068313033444e+000,-4.67883086192624e+001
3.16227766016839e+003,-7.70314577128637e+000,-5.32958982179616e+001
3.98107170553498e+003,-9.08652307773438e+000,-5.94068281477641e+001
5.01187233627273e+003,-1.06476808048878e+001,-6.48975425045629e+001
6.30957344480195e+003,-1.23472555848667e+001,-6.96596450083377e+001
7.94328234724283e+003,-1.41482909703546e+001,-7.36834919103714e+001
1.00000000000000e+004,-1.60207809639273e+001,-7.70230506966702e+001
1.25892541179417e+004,-1.79426167580792e+001,-7.97620841222932e+001
1.58489319246112e+004,-1.98985166418507e+001,-8.19901275067397e+001
1.99526231496889e+004,-2.18781986056254e+001,-8.37887358527719e+001
2.51188643150959e+004,-2.38744842954320e+001,-8.52260552459922e+001
3.16227766016839e+004,-2.58817517651170e+001,-8.63578507667866e+001
3.98107170553498e+004,-2.78951057510568e+001,-8.72325173207617e+001
5.01187233627274e+004,-2.99103936097218e+001,-8.78959633365606e+001
6.30957344480195e+004,-3.19246590418776e+001,-8.83926788796171e+001
7.94328234724284e+004,-3.39363751617483e+001,-8.87631349861517e+001
1.00000000000000e+005,-3.59451937230609e+001,-8.90407674179261e+001
1.25892541179417e+005,-3.79514447456520e+001,-8.92509509436970e+001
1.58489319246112e+005,-3.99556994875142e+001,-8.94119205517666e+001
1.99526231496889e+005,-4.19585184888329e+001,-8.95364897388325e+001
2.51188643150959e+005,-4.39603536571740e+001,-8.96336853261196e+001
3.16227766016839e+005,-4.59615348575127e+001,-8.97099772587298e+001
3.98107170553499e+005,-4.79622896230374e+001,-8.97701089909874e+001
5.01187233627274e+005,-4.99627696748125e+001,-8.98176345194031e+001
6.30957344480196e+005,-5.19630741041762e+001,-8.98552645147870e+001
7.94328234724285e+005,-5.39632668015395e+001,-8.98850941226013e+001
1.00000000000000e+006,-5.59633886312345e+001,-8.99087579491031e+001
1.25892541179417e+006,-5.79634655986820e+001,-8.99275393832361e+001
1.58489319246112e+006,-5.99635142009708e+001,-8.99424502704929e+001
1.99526231496889e+006,-6.19635448825269e+001,-8.99542905281252e+001
2.51188643150959e+006,-6.39635642474881e+001,-8.99636936326810e+001
3.16227766016839e+006,-6.59635764684248e+001,-8.99711618082327e+001
3.98107170553499e+006,-6.79635841802991e+001,-8.99770935017092e+001
5.01187233627275e+006,-6.99635890465549e+001,-8.99818049680847e+001
6.30957344480196e+006,-7.19635921171107e+001,-8.99855472959341e+001
7.94328234724285e+006,-7.39635940545626e+001,-8.99885198709988e+001
1.00000000000000e+007,-7.59635952770368e+001,-8.99908810404234e+001
