Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8
0.000036,2.346000,2.688000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.000076,2.234000,2.639000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.000112,2.131000,2.595000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.000148,2.048000,2.537000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.000184,1.975000,2.488000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.000224,1.931000,2.429000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.000260,1.906000,2.380000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.000296,1.911000,2.326000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.000332,1.935000,2.263000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.000372,1.994000,2.214000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.000408,2.067000,2.165000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.000444,2.155000,2.116000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.000480,2.258000,2.067000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.000520,2.366000,2.028000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.000556,2.483000,1.994000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.000592,2.586000,1.965000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.000628,2.678000,1.940000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.000668,2.761000,1.921000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.000704,2.820000,1.911000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.000740,2.849000,1.906000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.000776,2.869000,1.906000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.000816,2.849000,1.911000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.000852,2.810000,1.931000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.000888,2.742000,1.950000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.000924,2.664000,1.970000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.000968,2.561000,2.004000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
